"ID","status","case_type","priority","Opened_date","Closed_date","customer_satisfaction_score","first_contact_resolution","Customer Region","case_origin","STATUS"
"500fK000003dMYPQA2","Item Created","Billing","High","2024-04-18T05:50:19Z","2024-04-28T05:50:19Z","4","TRUE","Southwest","Email","Item Created"
"500fK000003dMYQQA2","Item Created","Billing","Low","2024-12-11T17:11:06Z","2024-12-20T17:11:06Z","7","FALSE","Midwest","Email","Item Created"
"500fK000003dMYRQA2","Item Created","General","Low","2024-12-17T11:19:15Z","2024-12-18T11:19:15Z","1","FALSE","Midwest","Phone","Item Created"
"500fK000003dMYSQA2","Item Created","Billing","Low","2024-05-30T11:56:20Z","2024-06-02T11:56:20Z","7","TRUE","Midwest","Email","Item Created"
"500fK000003dMYTQA2","Item Created","Technical","Low","2024-05-15T09:03:43Z","2024-05-26T09:03:43Z","3","FALSE","Northeast","Email","Item Created"
"500fK000003dMYUQA2","Item Created","Billing","High","2024-01-22T00:43:24Z","2024-01-28T00:43:24Z","1","FALSE","Midwest","Email","Item Created"
"500fK000003dMYVQA2","Item Created","Billing","High","2024-03-25T20:52:39Z","2024-03-27T20:52:39Z","10","FALSE","Southwest","Phone","Item Created"
"500fK000003dMYWQA2","Item Created","Billing","Low","2024-05-12T09:12:14Z","2024-05-18T09:12:14Z","4","TRUE","Southeast","Web","Item Created"
"500fK000003dMYXQA2","Item Created","Technical","Low","2024-12-24T19:13:30Z","2024-12-30T19:13:30Z","1","FALSE","Southeast","Email","Item Created"
"500fK000003dMYYQA2","Item Created","Billing","Low","2024-07-20T15:03:23Z","2024-08-02T15:03:23Z","9","TRUE","Northeast","Phone","Item Created"
"500fK000003dMYZQA2","Item Created","Billing","Medium","2024-07-27T04:48:44Z","2024-07-28T04:48:44Z","7","FALSE","Northeast","Phone","Item Created"
"500fK000003dMYaQAM","Item Created","Billing","High","2024-02-25T14:22:38Z","2024-02-28T14:22:38Z","8","FALSE","Midwest","Email","Item Created"
"500fK000003dMYbQAM","Item Created","Billing","Medium","2024-07-10T14:15:13Z","2024-07-12T14:15:13Z","1","FALSE","Midwest","Phone","Item Created"
"500fK000003dMYcQAM","Item Created","Technical","High","2024-10-22T01:05:04Z","2024-11-04T01:05:04Z","3","FALSE","Southeast","Phone","Item Created"
"500fK000003dMYdQAM","Item Created","Billing","Low","2024-12-20T13:36:45Z","2025-01-04T13:36:45Z","10","FALSE","Midwest","Phone","Item Created"
"500fK000003dMYeQAM","Item Created","Technical","Low","2024-12-04T00:17:46Z","2024-12-09T00:17:46Z","2","TRUE","Midwest","Phone","Item Created"
"500fK000003dMYfQAM","Item Created","General","High","2024-07-30T20:30:48Z","2024-08-07T20:30:48Z","3","FALSE","Midwest","Phone","Item Created"
"500fK000003dMYgQAM","Item Created","Billing","High","2024-12-21T17:41:33Z","2025-01-01T17:41:33Z","2","TRUE","Midwest","Email","Item Created"
"500fK000003dMYhQAM","Item Created","General","Low","2024-08-20T20:17:04Z","2024-08-29T20:17:04Z","1","FALSE","Southwest","Web","Item Created"
"500fK000003dMYiQAM","Item Created","Technical","Medium","2024-08-12T22:28:28Z","2024-08-18T22:28:28Z","7","FALSE","Midwest","Phone","Item Created"
"500fK000003dMYjQAM","Item Created","General","High","2024-04-14T09:37:06Z","2024-04-17T09:37:06Z","8","FALSE","Midwest","Email","Item Created"
"500fK000003dMYkQAM","Item Created","General","Medium","2024-08-05T13:50:45Z","2024-08-20T13:50:45Z","2","TRUE","Midwest","Phone","Item Created"
"500fK000003dMYlQAM","Item Created","General","Low","2024-07-03T18:45:57Z","2024-07-15T18:45:57Z","4","FALSE","Northeast","Phone","Item Created"
"500fK000003dMYmQAM","Item Created","General","Low","2024-03-28T06:33:39Z","2024-04-07T06:33:39Z","1","TRUE","Midwest","Phone","Item Created"
"500fK000003dMYnQAM","Item Created","Billing","Low","2024-04-19T18:05:50Z","2024-04-22T18:05:50Z","7","TRUE","Midwest","Phone","Item Created"
"500fK000003dMYoQAM","Item Created","Billing","High","2024-09-28T05:01:16Z","2024-10-02T05:01:16Z","7","TRUE","Northeast","Phone","Item Created"
"500fK000003dMYpQAM","Item Created","General","Low","2024-08-24T00:35:09Z","2024-08-29T00:35:09Z","6","FALSE","Midwest","Phone","Item Created"
"500fK000003dMYqQAM","Item Created","General","Low","2024-10-20T11:30:25Z","2024-10-24T11:30:25Z","3","TRUE","Midwest","Phone","Item Created"
"500fK000003dMYrQAM","Item Created","General","Low","2024-01-27T19:07:59Z","2024-01-28T19:07:59Z","9","TRUE","Midwest","Phone","Item Created"
"500fK000003dMYsQAM","Item Created","Billing","Low","2024-02-07T20:36:13Z","2024-02-18T20:36:13Z","5","TRUE","Southeast","Email","Item Created"
"500fK000003dMYtQAM","Item Created","Billing","Low","2024-05-25T01:43:56Z","2024-06-05T01:43:56Z","1","FALSE","Northeast","Email","Item Created"
"500fK000003dMYuQAM","Item Created","Billing","Low","2024-12-25T10:39:43Z","2025-01-04T10:39:43Z","2","FALSE","Northeast","Email","Item Created"
"500fK000003dMYvQAM","Item Created","Billing","High","2024-12-29T02:28:03Z","2025-01-05T02:28:03Z","7","TRUE","Southeast","Phone","Item Created"
"500fK000003dMYwQAM","Item Created","Billing","Low","2024-01-05T09:27:12Z","2024-01-14T09:27:12Z","1","FALSE","Midwest","Phone","Item Created"
"500fK000003dMYxQAM","Item Created","Billing","Low","2024-09-10T03:39:37Z","2024-09-25T03:39:37Z","4","TRUE","Midwest","Email","Item Created"
"500fK000003dMYyQAM","Item Created","Billing","Low","2024-07-14T18:17:03Z","2024-07-19T18:17:03Z","8","FALSE","Midwest","Phone","Item Created"
"500fK000003dMYzQAM","Item Created","General","High","2024-09-22T10:10:34Z","2024-10-07T10:10:34Z","5","FALSE","Northeast","Web","Item Created"
"500fK000003dMZ0QAM","Item Created","Technical","Medium","2024-03-07T18:37:01Z","2024-03-11T18:37:01Z","2","FALSE","Midwest","Phone","Item Created"
"500fK000003dMZ1QAM","Item Created","Billing","High","2024-08-18T14:56:48Z","2024-08-23T14:56:48Z","3","TRUE","Midwest","Phone","Item Created"
"500fK000003dMZ2QAM","Item Created","Billing","Low","2024-12-18T11:25:29Z","2024-12-19T11:25:29Z","4","TRUE","Southeast","Phone","Item Created"
"500fK000003dMZ3QAM","Item Created","General","High","2024-04-19T16:09:36Z","2024-04-23T16:09:36Z","3","TRUE","Southeast","Email","Item Created"
"500fK000003dMZ4QAM","Item Created","Billing","Low","2024-03-19T00:44:32Z","2024-04-03T00:44:32Z","6","FALSE","Southeast","Phone","Item Created"
"500fK000003dMZ5QAM","Item Created","Technical","Medium","2024-10-15T03:51:18Z","2024-10-17T03:51:18Z","1","FALSE","Northeast","Phone","Item Created"
"500fK000003dMZ6QAM","Item Created","Billing","Medium","2024-11-26T15:49:06Z","2024-12-05T15:49:06Z","8","TRUE","Northeast","Phone","Item Created"
"500fK000003dMZ7QAM","Item Created","Billing","Low","2024-05-08T21:19:17Z","2024-05-17T21:19:17Z","2","FALSE","Southeast","Email","Item Created"
"500fK000003dMZ8QAM","Item Created","Technical","Medium","2024-11-21T04:57:28Z","2024-12-02T04:57:28Z","8","FALSE","Northeast","Phone","Item Created"
"500fK000003dMZ9QAM","Item Created","Technical","Low","2024-01-23T11:46:07Z","2024-01-31T11:46:07Z","6","TRUE","Midwest","Phone","Item Created"
"500fK000003dMZAQA2","Item Created","Billing","Medium","2024-03-17T12:01:36Z","2024-03-29T12:01:36Z","6","TRUE","Midwest","Phone","Item Created"
"500fK000003dMZBQA2","Item Created","Billing","Low","2024-04-02T19:51:53Z","2024-04-15T19:51:53Z","9","FALSE","Northeast","Phone","Item Created"
"500fK000003dMZCQA2","Item Created","Billing","High","2024-09-20T19:42:41Z","2024-10-03T19:42:41Z","3","FALSE","Midwest","Web","Item Created"
"500fK000003dMZDQA2","Item Created","General","Low","2024-07-22T14:50:49Z","2024-08-04T14:50:49Z","3","TRUE","Midwest","Phone","Item Created"
"500fK000003dMZEQA2","Item Created","Billing","High","2024-03-31T19:04:55Z","2024-04-13T19:04:55Z","10","TRUE","Midwest","Web","Item Created"
"500fK000003dMZFQA2","Item Created","Technical","Low","2024-06-07T00:18:16Z","2024-06-08T00:18:16Z","10","FALSE","Northeast","Email","Item Created"
"500fK000003dMZGQA2","Item Created","Billing","High","2024-07-18T01:20:19Z","2024-07-20T01:20:19Z","1","TRUE","Northeast","Phone","Item Created"
"500fK000003dMZHQA2","Item Created","Technical","High","2024-05-29T12:53:57Z","2024-06-11T12:53:57Z","8","TRUE","Midwest","Phone","Item Created"
"500fK000003dMZIQA2","Item Created","Technical","High","2024-08-12T10:53:24Z","2024-08-22T10:53:24Z","9","TRUE","Midwest","Phone","Item Created"
"500fK000003dMZJQA2","Item Created","General","Low","2024-01-24T00:36:13Z","2024-02-02T00:36:13Z","9","TRUE","Midwest","Phone","Item Created"
"500fK000003dMZKQA2","Item Created","Technical","Low","2024-08-05T04:56:12Z","2024-08-12T04:56:12Z","7","FALSE","West","Phone","Item Created"
"500fK000003dMZLQA2","Item Created","Technical","High","2024-03-24T21:37:40Z","2024-04-02T21:37:40Z","4","TRUE","Midwest","Web","Item Created"
"500fK000003dMZMQA2","Item Created","Technical","Medium","2024-12-17T08:16:01Z","2024-12-30T08:16:01Z","8","FALSE","Midwest","Phone","Item Created"
"500fK000003dMZNQA2","Item Created","Billing","Low","2024-02-22T22:53:08Z","2024-02-29T22:53:08Z","8","TRUE","Southwest","Phone","Item Created"
"500fK000003dMZOQA2","Item Created","General","High","2024-10-27T20:15:51Z","2024-11-06T20:15:51Z","4","TRUE","Southeast","Phone","Item Created"
"500fK000003dMZPQA2","Item Created","Technical","Low","2024-08-20T13:28:37Z","2024-08-29T13:28:37Z","10","TRUE","Midwest","Email","Item Created"
"500fK000003dMZQQA2","Item Created","Technical","High","2024-05-20T03:08:34Z","2024-05-25T03:08:34Z","3","TRUE","Midwest","Email","Item Created"
"500fK000003dMZRQA2","Item Created","Billing","Medium","2024-10-08T07:14:14Z","2024-10-16T07:14:14Z","7","TRUE","Southeast","Phone","Item Created"
"500fK000003dMZSQA2","Item Created","General","High","2024-03-17T21:58:49Z","2024-03-22T21:58:49Z","3","FALSE","Northeast","Phone","Item Created"
"500fK000003dMZTQA2","Item Created","General","Low","2024-03-15T14:20:01Z","2024-03-23T14:20:01Z","10","TRUE","Midwest","Phone","Item Created"
"500fK000003dMZUQA2","Item Created","General","Medium","2024-11-04T20:58:58Z","2024-11-05T20:58:58Z","10","TRUE","Northeast","Phone","Item Created"
